Sr.No.,Accord Code,Company Name,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Listing Status,CD_ISIN No,CD_CIN Number,CD_Industry
4484,124484,New Heaven Chemicals and Industries Ltd.,524484,,SHPL IN,,Listed,INE358P01012,L24230AP1989PLC009458,Pharmaceuticals & Drugs
4485,244823,New India Investment Corpn Ltd.,,,,,Listed,,L67120WB1936PLC008762,Finance - Investment
4486,200315,New India Retailing And Investment Ltd,,,,,Listed,INE260C01018,L15421WB1933PLC023070,Textile 
4487,244824,New Light Apparels Ltd.,540243,,NEWLIGHT IN,NEWL.BO,Listed,INE835U01019,L74899DL1995PLC064005,Textile 
4488,108867,New Markets Advisory Ltd.,508867,,NCN IN,NEWM.BO,Listed,INE800K01014,L74120MH1982PLC028648,IT - Software 
4489,244529,New Mount Trading & Investment Co Ltd.,,,,,Listed,,L67120WB1975PLC030153,Miscellaneous
4490,268922,New Outlook Securities Ltd.,,,,,Listed,,L67120WB1982PLC035324,Finance - Investment
4491,248093,Newever Trade Wings Ltd.,536644,,NETW IN,NEWE.BO,Listed,INE596O01010,L74999WB2012PLC181106,Trading
4492,213672,Newgen Software Technologies Ltd.,540900,NEWGEN,NEWGEN IN,NEWG.BO,Listed,INE619B01017,U72200DL1992PLC049074,IT - Software 
4493,131959,Newtime Infrastructure Ltd.,531959,,NIL IN,NEWT.BO,Listed,INE997D01021,L24239HR1984PLC040797,Engineering - Construction
4494,131927,Nexcen Softech Ltd.,531927,,HRSF IN,,Listed,INE180B01010,L65910DL1990PLC042372,IT - Software 
4495,132416,Next Mediaworks Ltd.,532416,NEXTMEDIA,NML IN,NEXM.BO,Listed,INE747B01016,L22100MH1981PLC024052,Printing And Publishing
4496,205796,Nextgen Animation Mediaa Ltd.,532999,,NAML IN,NEXT.BO,Listed,INE875I01010,L92120MH2007PLC172039,IT - Software 
4497,272548,Nexus Commodities And Technologies Ltd.,538874,,NEXU IN,NEXU.BO,Listed,INE370Q01015,L52599TN1992PLC021979,Finance - Stock Broking
4498,117540,Nexus Software Ltd.,517540,,NXS IN,,Listed,INE901B01019,L72200GJ1992PLC017506,IT - Software 
4499,132045,Nexxoft Infotel Ltd.,532045,,NXI IN,NEXX.BO,Listed,INE249H01010,L72200TG1991PLC039472,IT - Software 
4500,102255,Neycer India Ltd.,502255,,NYCR IN,NEYC.BO,Listed,INE275N01013,L26109TN1960PLC004145,Ceramics/Marble/Granite/Sanitaryware
4501,130897,NG Industries Ltd.,530897,,NGID IN,NGID.BO,Listed,INE825C01018,L74140WB1994PLC065937,Hospital & Healthcare Services
4502,124774,NGL Fine-Chem Ltd.,524774,,NGLF IN,NGLF.BO,Listed,INE887E01022,L24110MH1981PLC025884,Pharmaceuticals & Drugs
4503,241176,NGR Techno Projects Ltd.,,,,,Listed,,U45206AP1992PLC014619,Construction - Real Estate
4504,117554,NHC Foods Ltd.,517554,,NHCF IN,NHCF.BO,Listed,INE141C01028,L15122GJ1992PLC076277,Consumer Food
4505,216369,NHPC Ltd.,533098,NHPC,NHPC IN,NHPC.BO,Listed,INE848E01016,L40101HR1975GOI032564,Power Generation/Distribution
4506,190028,Nicco Corporation Ltd.,590028,NICCO,NICC IN,NICC.BO,Listed,INE241C01026,L55101WB1983PLC036362,Cable
4507,126721,Nicco Parks & Resorts Ltd.,526721,,NIPR IN,NPR.BO,Listed,INE653C01022,L92419WB1989PLC046487,Amusement Parks/Recreation/Club
4508,123209,Nicco Uco Alliance Credit Ltd.,523209,,NICU IN,NIAC.BO,Listed,INE917B01023,L65910WB1984PLC037614,Finance - NBFC
4509,290155,Nice Projects Ltd.,,,,,Listed,,U45201DL2004PTC126075,Construction - Real Estate
4510,244826,Nidhan Commercial Co Ltd.,,,,,Listed,,L36911WB1982PLC034794,Diamond  &  Jewellery
4511,112103,Nidhi Granites Ltd.,512103,,NGR IN,NIDH.BO,Listed,INE276H01013,L51900MH1981PLC025677,Finance - Others
4512,267424,Nidhi Mercantiles Ltd.,,,,,Listed,,L51909MH1985PLC138577,Steel & Iron Products
4513,268929,Nidhi Services Ltd.,,,,,Listed,,L65999DL1984PLC018077,Finance - Investment
4514,131083,Nihar Info Global Ltd.,531083,,GNSC IN,NIHR.BO,Listed,INE876E01033,L67120AP1995PLC019200,IT - Software 
4515,244534,Niharika India Ltd.,,,,,Listed,,L36900WB1995PLC072857,Finance - NBFC
4516,228111,Nihilent Ltd.,,,,,Listed,,U72900PN2000PLC01493,IT - Software 
4517,100304,NIIT Ltd.,500304,NIITLTD,NIIT IN,NIIT.BO,Listed,INE161A01038,L74899DL1981PLC015865,IT - Education
4518,132541,NIIT Technologies Ltd.,532541,NIITTECH,NITEC IN,NITT.BO,Listed,INE591G01017,L65993DL1992PLC048753,IT - Software 
4519,119168,Nijjer Agro Foods Ltd.,519168,,NAF IN,,Listed,INE847B01014,L01134PB1988PLC008755,Consumer Food
4520,126159,Nikhil Adhesives Ltd.,526159,,NA IN,NKHL.BO,Listed,INE926C01014,L51900MH1986PLC041062,Chemicals 
4521,131272,Nikki Global Finance Ltd.,531272,,NGF IN,NIKI.BO,Listed,INE526C01012,L65999DL1986PLC024493,Finance - Investment
4522,130377,Nila Infrastructures Ltd.,530377,NILAINFRA,NLHI IN,NHI.BO,Listed,INE937C01029,L45201GJ1990PLC013417,Construction - Real Estate
4523,102294,Nilachal Refractories Ltd.,502294,,NRL IN,NILR.BO,Listed,INE416N01013,L26939OR1977PLC000735,Refractories
4524,130129,Nile Ltd.,530129,,NL IN,NILE.BO,Listed,INE445D01013,L27029AP1984PLC004719,Metal - Non Ferrous 
4525,123385,Nilkamal Ltd.,523385,NILKAMAL,NILK IN,NKML.BO,Listed,INE310A01015,L25209DN1985PLC000162,Plastic Products
4526,112004,Nilkanth Engineering Ltd.,512004,,NLKE IN,,Listed,INE582V01015,L27300MH1983PLC029360,Engineering
4527,131598,Nimbus Foods Industries Ltd.,531598,,NIMF IN,NIMB.BO,Listed,INE301B01020,L30006GJ1995PLC025631,Consumer Food
4528,130971,Nimbus Industries Ltd.,530971,,SCDI IN,NIMI.BO,Listed,INE470M01020,L99999MH1975PLC018079,Trading
4529,111714,Nimbus Projects Ltd.,511714,,NIPL IN,NIMU.BO,Listed,INE875B01015,L74899DL1993PLC055470,Construction - Real Estate
4530,280473,Nintec Systems Ltd.,539843,,NINSYS IN,NINC.BO,Listed,INE395U01014,U72900GJ2015PLC084063,IT - Software 
4531,244830,Nippon Commercial Co Ltd.,,,,,Listed,,L29193WB1983PLC035760,Finance - Investment
4532,200089,Niraj Cement Structurals Ltd.,532986,,NCSL IN,NIRC.BO,Listed,INE368I01016,L26940MH1998PLC114307,Engineering - Construction
4533,245922,Niraj Ispat Industries Ltd.,,NIRAJISPAT,NIRAJI IN,,Listed,INE326T01011,L27106DL1985PLC021811,Diversified
4534,241169,Niraj Jindal Ispat Udyog Ltd.,,,,,Listed,,L25209HR1974PLC007189,Steel & Iron Products
4535,112425,Nirav Commercials Ltd.,512425,,NRV IN,NIRV.BO,Listed,INE242B01018,L51900MH1985PLC036668,Aluminium & Aluminium Products
4536,100307,Nirlon Ltd.,500307,NIRLON,NIRL IN,NIRL.BO,Listed,INE910A01012,L17120MH1958PLC011045,Engineering - Construction
4537,268936,Nirmaan India Ltd.,,,,,Listed,,L51109WB1983PLC036368,Construction - Real Estate
4538,131954,Nirman Cements Ltd.,531954,,NRMC IN,,Listed,INE162E01012,L26956BR1995PLC006370,Cement & Construction Materials
4539,244832,Nirvan Commercial Co Ltd.,,,,,Listed,,L51909WB1981PLC033871,Finance - Investment
4540,278413,Nishtha Finance and Investment (India) Ltd.,539311,,NISF IN,NISH.BO,Listed,INE217Q01018,L65100DL1983PLC016946,Finance - Investment
4541,132789,Nissan Copper Ltd.,532789,NCOPPER,NCOP IN,NSSN.BO,Listed,INE846H01039,L36939DN1989PLC000377,Metal - Non Ferrous 
4542,244833,Nistha Traders Ltd.,,,,,Listed,,L52110DL1985PLC020157,Finance - Investment
4543,132722,Nitco Ltd.,532722,NITCO,NITCO IN,NCOT.BO,Listed,INE858F01012,L26920MH1966PLC016547,Ceramics/Marble/Granite/Sanitaryware
4544,210551,Nitesh Estates Ltd.,533202,NITESHEST,NITE IN,NITE.BO,Listed,INE639K01016,L07010KA2004PLC033412,Construction - Real Estate
4545,108875,Nitin Castings Ltd.,508875,,NCAST IN,NTAL.BO,Listed,INE861H01020,L65990MH1982PLC028822,Castings/Forgings
4546,132854,Nitin Fire Protection Industries Ltd.,532854,NITINFIRE,NFPI IN,NIFP.BO,Listed,INE489H01020,L29193MH1995PLC092323,Engineering - Industrial Equipments
4547,112429,Nitin Industries Ltd.,512429,,PMM IN,,Listed,,U51900MH1985PLC035704,Trading
4548,132698,Nitin Spinners Ltd.,532698,NITINSPIN,NSPL IN,NISP.BO,Listed,INE229H01012,L17111RJ1992PLC006987,Textile - Spinning
4549,284679,Nitiraj Engineers Ltd.,,NITIRAJ,NITIRAJ IN,,Listed,INE439T01012,U31909MH1999PLC119231,Engineering - Industrial Equipments
4550,106532,Nitta Gelatin India Ltd.,506532,KERALACHEM,NIGI IN,NITA.BO,Listed,INE265B01019,L24299KL1975PLC002691,Chemicals 
4551,268940,Nitu Trading Co Ltd.,,,,,Listed,,L51109WB1983PLC035728,Trading
